day,date,spot_price,mark_price,theoretical_price,payoff,delta,gamma,theta,vega,net_position,hedge_position,funding_rate,funding_payment,cumulative_funding,cumulative_fees,cumulative_hedge_pnl,mtm_pnl,lp_equity,lp_pnl,daily_pnl
60,2024-03-01,2215.6507714534187,2.969790229305433,2.969790395839815,0.0,0.021116815994252854,0.00012876427244816894,-0.5601878614020607,0.20731501289855128,-693.7532967492659,-7.324930356430274,2.969790229305433,-2060.3017622344196,-1684131.1386723637,2516.570084229992,186320.6621391169,0.0,-495293.90644901665,-1495293.9064490166,-2359.4466647056397
61,2024-03-02,2384.418748939574,8.963646392049988,8.963647013905955,0.0,0.05396717559635489,0.00027314082296440913,-1.3778717656668482,0.4648897114306194,-533.244169065921,-14.388840853856458,8.963646392049988,-4779.812172129517,-1688910.9508444932,2518.6960303618634,185084.44845763524,0.0,-501307.8063564962,-1501307.8063564962,-6013.899907479528
62,2024-03-03,2307.9983268361816,5.560240246241119,5.560240542737704,0.0,0.03605567996553658,0.00019835530743257782,-0.9369810384538383,0.3307033634906321,-530.0675069102963,-9.555972194643747,5.560240246241119,-2947.302685147384,-1691858.2535296406,2519.660232224457,186184.04974926548,0.0,-503154.5435481507,-1503154.5435481507,-1846.737191654509
63,2024-03-04,2262.344676856615,4.107519846003191,4.107520063729483,0.0,0.027867443788806307,0.00016126301906531235,-0.7316918697220107,0.26460596091504934,-238.82500973490542,-3.327721267074298,4.107519846003191,-980.9784672081005,-1692839.2319968487,2520.6882735541385,186620.31475905422,0.0,-503698.2289642403,-1503698.2289642403,-543.6854160896037
64,2024-03-05,2335.1497671450575,6.615290603067702,6.61529076105739,0.0,0.04177204934019992,0.00022305393134409898,-1.0787978888821093,0.3749553996526685,-47.71994543746059,-0.996679957662626,6.615290603067702,-315.6813066313043,-1693154.91330348,2522.0971232194624,186378.0397117501,0.0,-504254.7764685105,-1504254.7764685105,-556.5475042702165
65,2024-03-06,2167.59887570921,2.0924185994415527,2.092418609426563,0.0,0.0156261803135111,0.00010062128587966735,-0.4188344457689617,0.1584546157960427,-249.82657962867415,-1.9519175901927006,2.0924185994415527,-522.7417818498798,-1693677.65508533,2522.546039342576,186545.03432713271,0.0,-504610.0747188546,-1504610.0747188546,-355.29825034411624
66,2024-03-07,2201.38200194305,2.6812815401081616,2.6812816070937027,0.0,0.019343537717259083,0.00011986757871991305,-0.5147377705913115,0.19177857373279333,-90.04764321981706,-0.8709199914864103,2.6812815401081616,-241.44308349560015,-1693919.0981688255,2523.133217672356,186479.0924487852,0.0,-504916.87250236794,-1504916.872502368,-306.7977835133206
67,2024-03-08,2433.612579007544,11.97129221042302,11.971292318221685,0.0,0.06877786843624452,0.00033018898579875554,-1.7357298226320583,0.5670522131635531,11.909569578192736,0.4095574047906201,11.97129221042302,142.57293752091937,-1693776.5252313046,2525.236821007086,186276.8381965853,0.0,-504974.4502137122,-1504974.4502137122,-57.57771134423092
68,2024-03-09,2484.1406150944294,15.895327647672225,15.895327628741574,0.0,0.08710029564377356,0.00039633912247765513,-2.1717170851499703,0.6843317025947211,264.909934324442,11.536866799315769,15.895327647672225,4210.8302032102365,-1689565.6950280943,2528.3656327699123,186297.53232791423,0.0,-500739.7970674103,-1500739.7970674103,4234.653146301862
69,2024-03-10,2230.3252449801826,3.2938742975151376,3.2938742102571377,0.0,0.023076509217360472,0.00013840929587703195,-0.6102124744616167,0.22423740275813123,276.816539706871,3.1939797150317197,3.2938742975151376,911.7988852674607,-1688653.8961428269,2529.044246819621,183369.29821128713,0.0,-502755.5536847203,-1502755.5536847203,-2015.7566173099913
70,2024-03-11,2140.0832523431536,1.6987441248387478,1.6987440778147018,0.0,0.01305210578766407,8.673639071958904e-05,-0.35186666989461146,0.13471002010976968,450.4167227330589,2.9394433568224207,1.6987441248387478,765.1427614719141,-1687888.753381355,2529.416143481766,183081.0671173604,0.0,-502278.2701205127,-1502278.2701205127,477.28356420760974
71,2024-03-12,2074.382748907726,1.007372249386178,1.0073722040124495,0.0,0.00829242535942206,5.946557830469793e-05,-0.22655520859486608,0.08905428005483243,291.3149255265889,1.2078536380074174,1.007372249386178,293.4625718074385,-1687595.2908095475,2529.6230250124763,182887.9442089972,0.0,-502177.7235755378,-1502177.7235755378,100.54654497490264
72,2024-03-13,2188.1352129806723,2.4353266104430826,2.435326539498386,0.0,0.01780807601311768,0.00011202189800789296,-0.4752321212080363,0.1781432034884643,318.90202837315684,2.839515781003294,2.4353266104430826,776.6305958214216,-1686818.660213726,2530.2250905197,183025.34053656005,0.0,-501263.0945866462,-1501263.0945866462,914.6289888916072
73,2024-03-14,2169.9864489803285,2.1300153360924186,2.1300152681657996,0.0,0.01586794529989344,0.00010190015584311509,-0.425099421540468,0.16065517592932801,0.5438634122387187,0.004314997438008561,2.1300153360924186,1.158437408739701,-1686817.5017763174,2530.5786303338173,182973.80683477534,0.0,-501313.11631120834,-1501313.1163112083,-50.02172456216067
74,2024-03-15,1993.696637422712,0.5034027760886841,0.5034027760613059,0.0,0.0045193865749566,3.5648706074517405e-05,-0.1253931961004356,0.050737599786860134,-195.13555032634653,-0.44094649322082924,0.5034027760886841,-98.23177774786018,-1686915.7335540652,2530.665895126417,182973.04614469013,0.0,-501412.02151424857,-1501412.0215142486,-98.90520304022357
75,2024-03-16,1987.6356632601594,0.47665688164573855,0.476656890947009,0.0,0.004307657157641612,3.4225467975033736e-05,-0.11965172293890504,0.04851304909831129,-291.7517563205685,-0.6283832706844041,0.47665688164573855,-139.06548238242976,-1687054.7990364477,2530.7617621209297,182975.71870999262,0.0,-501548.31856433395,-1501548.318564334,-136.2970500853844
76,2024-03-17,2000.0590982247895,0.5328890581750167,0.5328890737221491,0.0,0.004751085441183827,3.719308350912581e-05,-0.13166695496050923,0.053161391215037004,-503.97693152913763,-1.197218731040292,0.5328890581750167,-268.56379238446243,-1687323.3628288321,2530.8563861995854,182967.9120312964,0.0,-501824.5944113361,-1501824.5944113361,-276.2758470021654
77,2024-03-18,1949.7092973744752,0.3359020691829568,0.33590208611164707,0.0,0.0031648326966314234,2.6317737894038365e-05,-0.08850851032990059,0.036330730396006455,-524.1867912226801,-0.8294817480019238,0.3359020691829568,-176.075427809963,-1687499.438256642,2530.9074526272348,183028.19175597857,0.0,-501940.33904803614,-1501940.3390480361,-115.74463670002297
78,2024-03-19,1856.5290775254546,0.13315465885133107,0.1331546658311228,0.0,0.001393137866819085,1.2983545633202748e-05,-0.039569279358024984,0.01669429673163173,-775.2326999401602,-0.5400030149415173,0.13315465885133107,-103.22584569081664,-1687602.664102333,2530.933283912567,183105.48304761812,0.0,-501966.24777080235,-1501966.2477708024,-25.908722766209394
79,2024-03-20,2066.051166069594,0.9403129382671573,0.9403130111632968,0.0,0.007809212417697731,5.654888714570616e-05,-0.21370458061285705,0.08426868140172479,-588.2406908551046,-2.2968482538103876,0.9403129382671573,-553.130332426168,-1688155.794434759,2531.092086573076,182992.34048810744,0.0,-502632.3618600785,-1502632.3618600785,-666.114089276176
80,2024-03-21,2154.5043716521486,1.8962310631937496,1.8962311747377831,0.0,0.014353514050318834,9.381999194328979e-05,-0.38578647356683404,0.14678868439127385,-491.29412277352196,-3.525898547034407,1.8962310631937496,-931.6071767676622,-1689087.4016115267,2531.4808285303397,182789.17689732122,0.0,-503766.7438856752,-1503766.7438856752,-1134.3820255966857
